
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 03-Jun-2026 at 09:40:21.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.6250   1.1128532E+06   1.0884863E+06   1.1128532E+06   9.1504765E+05   8.8738505E+05   9.1504765E+05
    0.6375   1.1129741E+06   1.0879189E+06   1.1129741E+06   9.1518823E+05   8.8677773E+05   9.1518823E+05
    0.6500   1.1131051E+06   1.0873214E+06   1.1131051E+06   9.1532630E+05   8.8618587E+05   9.1532630E+05
    0.6625   1.1132458E+06   1.0866950E+06   1.1132458E+06   9.1546179E+05   8.8560953E+05   9.1546179E+05
    0.6750   1.1133958E+06   1.0860418E+06   1.1133958E+06   9.1559466E+05   8.8504869E+05   9.1559466E+05
    0.6875   1.1135543E+06   1.0853644E+06   1.1135543E+06   9.1572488E+05   8.8450318E+05   9.1572488E+05
    0.7000   1.1137205E+06   1.0846656E+06   1.1137205E+06   9.1585250E+05   8.8397271E+05   9.1585250E+05
    0.7125   1.1138937E+06   1.0839489E+06   1.1138937E+06   9.1597757E+05   8.8345684E+05   9.1597757E+05
    0.7250   1.1140727E+06   1.0832177E+06   1.1140727E+06   9.1610022E+05   8.8295495E+05   9.1610022E+05
    0.7375   1.1142566E+06   1.0824757E+06   1.1142566E+06   9.1622060E+05   8.8246624E+05   9.1622060E+05
    0.7500   1.1144443E+06   1.0817267E+06   1.1144443E+06   9.1633893E+05   8.8198973E+05   9.1633893E+05
    0.7625   1.1146349E+06   1.0809741E+06   1.1146349E+06   9.1645548E+05   8.8152421E+05   9.1645548E+05
    0.7750   1.1148273E+06   1.0802214E+06   1.1148273E+06   9.1657057E+05   8.8106829E+05   9.1657057E+05
    0.7875   1.1150207E+06   1.0794720E+06   1.1150207E+06   9.1668458E+05   8.8062038E+05   9.1668458E+05
    0.8000   1.1152140E+06   1.0787287E+06   1.1152140E+06   9.1679794E+05   8.8017873E+05   9.1679794E+05
    0.8125   1.1154067E+06   1.0779945E+06   1.1154067E+06   9.1691112E+05   8.7974145E+05   9.1691112E+05
    0.8250   1.1155978E+06   1.0772716E+06   1.1155978E+06   9.1702464E+05   8.7930653E+05   9.1702464E+05
    0.8375   1.1157868E+06   1.0765625E+06   1.1157868E+06   9.1713901E+05   8.7887194E+05   9.1713901E+05
    0.8500   1.1159731E+06   1.0758688E+06   1.1159731E+06   9.1725480E+05   8.7843561E+05   9.1725480E+05
    0.8625   1.1161561E+06   1.0751924E+06   1.1161561E+06   9.1737253E+05   8.7799556E+05   9.1737253E+05
    0.8750   1.1163355E+06   1.0745347E+06   1.1163355E+06   9.1749273E+05   8.7754989E+05   9.1749273E+05
    0.8875   1.1165107E+06   1.0738967E+06   1.1165107E+06   9.1761589E+05   8.7709689E+05   9.1761589E+05
    0.9000   1.1166815E+06   1.0732794E+06   1.1166815E+06   9.1774242E+05   8.7663509E+05   9.1774242E+05
    0.9125   1.1168476E+06   1.0726837E+06   1.1168476E+06   9.1787268E+05   8.7616327E+05   9.1787268E+05
    0.9250   1.1170087E+06   1.0721101E+06   1.1170087E+06   9.1800695E+05   8.7568056E+05   9.1800695E+05
    0.9375   1.1171646E+06   1.0715590E+06   1.1171646E+06   9.1814540E+05   8.7518641E+05   9.1814540E+05
    0.9500   1.1173153E+06   1.0710305E+06   1.1173153E+06   9.1828811E+05   8.7468066E+05   9.1828811E+05
    0.9625   1.1174606E+06   1.0705249E+06   1.1174606E+06   9.1843506E+05   8.7416353E+05   9.1843506E+05
    0.9750   1.1176004E+06   1.0700420E+06   1.1176004E+06   9.1858610E+05   8.7363559E+05   9.1858610E+05
    0.9875   1.1177348E+06   1.0695817E+06   1.1177348E+06   9.1874102E+05   8.7309778E+05   9.1874102E+05
    1.0000   1.1178637E+06   1.0691434E+06   1.1178637E+06   9.1889946E+05   8.7255138E+05   9.1889946E+05
    1.0125   1.1179873E+06   1.0687268E+06   1.1179873E+06   9.1906102E+05   8.7199795E+05   9.1906102E+05
    1.0250   1.1181056E+06   1.0683311E+06   1.1181056E+06   9.1922520E+05   8.7143931E+05   9.1922520E+05
    1.0375   1.1182188E+06   1.0679555E+06   1.1182188E+06   9.1939143E+05   8.7087750E+05   9.1939143E+05
    1.0500   1.1183272E+06   1.0675990E+06   1.1183272E+06   9.1955912E+05   8.7031469E+05   9.1955912E+05
    1.0625   1.1184309E+06   1.0672606E+06   1.1184309E+06   9.1972762E+05   8.6975318E+05   9.1972762E+05
    1.0750   1.1185302E+06   1.0669390E+06   1.1185302E+06   9.1989625E+05   8.6919531E+05   9.1989625E+05
    1.0875   1.1186255E+06   1.0666328E+06   1.1186255E+06   9.2006434E+05   8.6864346E+05   9.2006434E+05
    1.1000   1.1187171E+06   1.0663406E+06   1.1187171E+06   9.2023123E+05   8.6809995E+05   9.2023123E+05
    1.1125   1.1188054E+06   1.0660608E+06   1.1188054E+06   9.2039625E+05   8.6756705E+05   9.2039625E+05
    1.1250   1.1188908E+06   1.0657918E+06   1.1188908E+06   9.2055876E+05   8.6704689E+05   9.2055876E+05
    1.1375   1.1189737E+06   1.0655320E+06   1.1189737E+06   9.2071817E+05   8.6654153E+05   9.2071817E+05
    1.1500   1.1190546E+06   1.0652797E+06   1.1190546E+06   9.2087391E+05   8.6605282E+05   9.2087391E+05
    1.1625   1.1191339E+06   1.0650333E+06   1.1191339E+06   9.2102546E+05   8.6558247E+05   9.2102546E+05
    1.1750   1.1192119E+06   1.0647912E+06   1.1192119E+06   9.2117233E+05   8.6513201E+05   9.2117233E+05
    1.1875   1.1192892E+06   1.0645518E+06   1.1192892E+06   9.2131412E+05   8.6470276E+05   9.2131412E+05
    1.2000   1.1193661E+06   1.0643139E+06   1.1193661E+06   9.2145043E+05   8.6429587E+05   9.2145043E+05
    1.2125   1.1194429E+06   1.0640763E+06   1.1194429E+06   9.2158095E+05   8.6391229E+05   9.2158095E+05
    1.2250   1.1195200E+06   1.0638378E+06   1.1195200E+06   9.2170541E+05   8.6355276E+05   9.2170541E+05
    1.2375   1.1195975E+06   1.0635976E+06   1.1195975E+06   9.2182359E+05   8.6321785E+05   9.2182359E+05
    1.2500   1.1196757E+06   1.0633552E+06   1.1196757E+06   9.2193532E+05   8.6290795E+05   9.2193532E+05
    1.2625   1.1197546E+06   1.0631100E+06   1.1197546E+06   9.2204048E+05   8.6262324E+05   9.2204048E+05
    1.2750   1.1198344E+06   1.0628619E+06   1.1198344E+06   9.2213901E+05   8.6236375E+05   9.2213901E+05
    1.2875   1.1199151E+06   1.0626111E+06   1.1199151E+06   9.2223088E+05   8.6212934E+05   9.2223088E+05
    1.3000   1.1199966E+06   1.0623578E+06   1.1199966E+06   9.2231611E+05   8.6191969E+05   9.2231611E+05
    1.3125   1.1200787E+06   1.0621026E+06   1.1200787E+06   9.2239479E+05   8.6173434E+05   9.2239479E+05
    1.3250   1.1201612E+06   1.0618461E+06   1.1201612E+06   9.2246701E+05   8.6157267E+05   9.2246701E+05
    1.3375   1.1202440E+06   1.0615894E+06   1.1202440E+06   9.2253295E+05   8.6143392E+05   9.2253295E+05
    1.3500   1.1203267E+06   1.0613335E+06   1.1203267E+06   9.2259279E+05   8.6131720E+05   9.2259279E+05
    1.3625   1.1204090E+06   1.0610796E+06   1.1204090E+06   9.2264677E+05   8.6122150E+05   9.2264677E+05
    1.3750   1.1204906E+06   1.0608292E+06   1.1204906E+06   9.2269516E+05   8.6114569E+05   9.2269516E+05
    1.3875   1.1205709E+06   1.0605836E+06   1.1205709E+06   9.2273826E+05   8.6108853E+05   9.2273826E+05
    1.4000   1.1206497E+06   1.0603444E+06   1.1206497E+06   9.2277639E+05   8.6104870E+05   9.2277639E+05
    1.4125   1.1207265E+06   1.0601130E+06   1.1207265E+06   9.2280992E+05   8.6102482E+05   9.2280992E+05
    1.4250   1.1208008E+06   1.0598910E+06   1.1208008E+06   9.2283922E+05   8.6101545E+05   9.2283922E+05
    1.4375   1.1208723E+06   1.0596798E+06   1.1208723E+06   9.2286467E+05   8.6101909E+05   9.2286467E+05
    1.4500   1.1209405E+06   1.0594808E+06   1.1209405E+06   9.2288667E+05   8.6103424E+05   9.2288667E+05
    1.4625   1.1210050E+06   1.0592955E+06   1.1210050E+06   9.2290563E+05   8.6105942E+05   9.2290563E+05
    1.4750   1.1210655E+06   1.0591251E+06   1.1210655E+06   9.2292195E+05   8.6109314E+05   9.2292195E+05
    1.4875   1.1211216E+06   1.0589706E+06   1.1211216E+06   9.2293603E+05   8.6113397E+05   9.2293603E+05
    1.5000   1.1211730E+06   1.0588332E+06   1.1211730E+06   9.2294824E+05   8.6118055E+05   9.2294824E+05
    1.5125   1.1212195E+06   1.0587137E+06   1.1212195E+06   9.2295895E+05   8.6123159E+05   9.2295895E+05
    1.5250   1.1212608E+06   1.0586129E+06   1.1212608E+06   9.2296849E+05   8.6128592E+05   9.2296849E+05
    1.5375   1.1212967E+06   1.0585312E+06   1.1212967E+06   9.2297717E+05   8.6134249E+05   9.2297717E+05
    1.5500   1.1213271E+06   1.0584692E+06   1.1213271E+06   9.2298527E+05   8.6140036E+05   9.2298527E+05
    1.5625   1.1213519E+06   1.0584271E+06   1.1213519E+06   9.2299301E+05   8.6145877E+05   9.2299301E+05
    1.5750   1.1213709E+06   1.0584051E+06   1.1213709E+06   9.2300061E+05   8.6151710E+05   9.2300061E+05
    1.5875   1.1213843E+06   1.0584030E+06   1.1213843E+06   9.2300820E+05   8.6157488E+05   9.2300820E+05
    1.6000   1.1213919E+06   1.0584207E+06   1.1213919E+06   9.2301589E+05   8.6163183E+05   9.2301589E+05
    1.6125   1.1213940E+06   1.0584579E+06   1.1213940E+06   9.2302375E+05   8.6168780E+05   9.2302375E+05
    1.6250   1.1213905E+06   1.0585139E+06   1.1213905E+06   9.2303180E+05   8.6174284E+05   9.2303180E+05
